id,chunk,embedding
28f716b860604632bc817d78b8b13f61,"I. Hợp đồng lao động (đIều 13) lao động, tiền lương, hình thức trả lương, bảo hiểm nhất định có thời hạn dưới 12 tháng thì nhóm người
xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp, quy lao động từ đủ 18 tuổi trở lên có thể ủy quyền cho
1. Hợp đồng lao động là sự thỏa thuận giữa người
định về bảo vệ bí mật kinh doanh, bảo vệ bí mật một người lao động trong nhóm để giao kết hợp
lao động và người sử dụng lao động về việc làm có
công nghệ và vấn đề khác liên quan trực tiếp đến đồng lao động; trong trường hợp này, hợp đồng
trả công, tiền lương, điều kiện lao động, quyền và
việc giao kết hợp đồng lao động mà người lao lao động phải được giao kết bằng văn bản và có
nghĩa vụ của mỗi bên trong quan hệ lao động. động yêu cầu. hiệu lực như giao kết với từng người lao động. Trường hợp hai bên thỏa thuận bằng tên gọi
2.","[-0.00364446  0.00397264 -0.00975246 ...  0.00096374 -0.0171892
  0.00484339]"
68e8459f95bc4408b249496e37fc4c1b,"Trường hợp hai bên thỏa thuận bằng tên gọi
2. Người lao động phải cung cấp thông tin Hợp đồng lao động do người được ủy quyền
khác nhưng có nội dung thể hiện về việc làm có
trung thực cho người sử dụng lao động về họ tên, ký kết phải kèm theo danh sách ghi rõ họ tên,
trả công, tiền lương và sự quản lý, điều hành, giám
ngày tháng năm sinh, giới tính, nơi cư trú, trình ngày tháng năm sinh, giới tính, nơi cư trú và chữ
sát của một bên thì được coi là hợp đồng lao động. độ học vấn, trình độ kỹ năng nghề, xác nhận tình ký của từng người lao động. 2. Trước khi nhận người lao động vào làm
trạng sức khỏe và vấn đề khác liên quan trực tiếp
3. Người giao kết hợp đồng lao động bên phía
việc thì người sử dụng lao động phải giao kết hợp
đến việc giao kết hợp đồng lao động mà người sử
người sử dụng lao động là người thuộc một trong
đồng lao động với người lao động. dụng lao động yêu cầu. các trường hợp sau đây:
II. HìnH tHức và nguyên tắc gIao kết Hợp đồng
Iv. HànH vI ngườI sử dụng lao động kHông được a) Người đại diện theo pháp luật của doanh
lao động (đIều 14, 15)
làm kHI gIao kết, tHựcH Iện Hợp đồng lao động (đIều 17) nghiệp hoặc người được ủy quyền theo quy định
1.","[-0.00049673  0.03530228 -0.01116861 ... -0.0032438  -0.01611179
 -0.00118116]"
14e8f29acb8c46479cd81094d17a0c05,"HànH vI ngườI sử dụng lao động kHông được a) Người đại diện theo pháp luật của doanh
lao động (đIều 14, 15)
làm kHI gIao kết, tHựcH Iện Hợp đồng lao động (đIều 17) nghiệp hoặc người được ủy quyền theo quy định
1. Hợp đồng lao động phải được giao kết của pháp luật;
1. Giữ bản chính giấy tờ tùy thân, văn bằng,
bằng văn bản và được làm thành 02 bản, người
chứng chỉ của người lao động. b) Người đứng đầu cơ quan, tổ chức có tư
lao động giữ 01 bản, người sử dụng lao động giữ
cách pháp nhân theo quy định của pháp luật hoặc
2. Yêu cầu người lao động phải thực hiện biện
01 bản, trừ trường hợp quy định tại khoản 2 Điều
người được ủy quyền theo quy định của pháp luật;
pháp bảo đảm bằng tiền hoặc tài sản khác cho
này. Hợp đồng lao động được giao kết thông qua
việc thực hiện hợp đồng lao động. c) Người đại diện của hộ gia đình, tổ hợp tác,
phương tiện điện tử dưới hình thức thông điệp dữ
tổ chức khác không có tư cách pháp nhân hoặc
liệu theo quy định của pháp luật về giao dịch điện 3. Buộc người lao động thực hiện hợp đồng
người được ủy quyền theo quy định của pháp luật;
tử có giá trị như hợp đồng lao động bằng văn bản. lao động để trả nợ cho người sử dụng lao động.","[-1.60895044e-03  1.97208729e-02 -1.12408912e-02 ...  4.61916243e-05
 -1.66672524e-02  6.34619209e-04]"
0634f8b3d14c452394f6a71d59128ecf,"lao động để trả nợ cho người sử dụng lao động. d) Cá nhân trực tiếp sử dụng lao động. 2. Hai bên có thể giao kết hợp đồng lao động
v. tHẩm quyền gIao kết Hợp đồng lao động
bằng lời nói đối với hợp đồng có thời hạn dưới 01 4. Người giao kết hợp đồng lao động bên
(đIều 18)
tháng trừ các trường hợp: Công việc theo mùa vụ phía người lao động là người thuộc một trong các
1. Người lao động trực tiếp giao kết hợp đồng lao
ký kết với nhóm người lao động; giao kết hợp đồng trường hợp sau đây:
động, trừ trường hợp quy định tại khoản 2 Điều này. lao động với người chưa đủ 15 tuổi; lao động là
a) Người lao động từ đủ 18 tuổi trở lên;
người giúp việc gia đình. 2. Đối với công việc theo mùa vụ, công việc
b) Người lao động từ đủ 15 tuổi đến chưa đủ
3. Hợp đồng lao động được giao kết trên
18 tuổi khi có sự đồng ý bằng văn bản của người
nguyên tắc tự nguyện, bình đẳng, thiện chí, hợp
đại diện theo pháp luật của người đó;
tác và trung thực; tự do giao kết hợp đồng lao
c) Người chưa đủ 15 tuổi và người đại diện
động nhưng không được trái pháp luật, thỏa ước
theo pháp luật của người đó;
lao động tập thể và đạo đức xã hội. d) Người lao động được những người lao động
III.","[-0.00322293  0.03469716 -0.01148178 ...  0.00131987 -0.01617775
  0.00132167]"
4c212f9f75a54d7b801bbdfa00c3f46b,"d) Người lao động được những người lao động
III. ngHĩa vụ cung cấp tHông tIn kHI gIao kết
trong nhóm ủy quyền hợp pháp giao kết hợp đồng
Hợp đồng lao động (đIều 16)
lao động. 1. Người sử dụng lao động phải cung cấp
5. Người được ủy quyền giao kết hợp đồng
thông tin trung thực cho người lao động về công
lao động không được ủy quyền lại cho người khác
việc, địa điểm làm việc, điều kiện làm việc, thời
giao kết hợp đồng lao động. giờ làm việc, thời giờ nghỉ ngơi, an toàn, vệ sinh ï","[ 0.00385248  0.0072667  -0.01187184 ...  0.00304684 -0.01419279
  0.00569749]"
bc524fa8e1f0472888772fd207aba1ce,"vI. loạI Hợp đồng lao động (đIều 20) vII. nộI dung và HIệu lực của Hợp đồng lao
BỘ tư pháp
1. Hợp đồng lao động phải được giao kết theo động, tIền lương tHử vIệc (đIều 21, 23, 26)
một trong các loại sau đây: 1. Hợp đồng lao động phải có những nội dung Đề án “Tăng cường công Tác phổ biến, giáo dục pháp
a) Hợp đồng lao động không xác định thời chủ yếu sau đây:
luậT Tại mộT số Địa bàn Trọng Điểm về vi phạm pháp
hạn là hợp đồng mà trong đó hai bên không xác a) Tên, địa chỉ của người sử dụng lao động và
luậT giai Đoạn 2017-2021” năm 2019
định thời hạn, thời điểm chấm dứt hiệu lực của họ tên, chức danh của người giao kết hợp đồng
hợp đồng; lao động bên phía người sử dụng lao động;
b) Hợp đồng lao động xác định thời hạn là b) Họ tên, ngày tháng năm sinh, giới tính, nơi
hợp đồng mà trong đó hai bên xác định thời hạn, cư trú, số thẻ Căn cước công dân, Chứng minh
thời điểm chấm dứt hiệu lực của hợp đồng trong nhân dân hoặc hộ chiếu của người giao kết hợp tìm HIỂu một sỐ quy đỊnH
thời gian không quá 36 tháng kể từ thời điểm có đồng lao động bên phía người lao động;
hiệu lực của hợp đồng. pHÁp luẬt về
c) Công việc và địa điểm làm việc;
2.","[ 4.23180154e-06  4.63937782e-02 -1.20384246e-02 ... -2.09010975e-03
 -1.14849163e-02  2.30827089e-03]"
82a4d019b1164611a1e44473da211906,"pHÁp luẬt về
c) Công việc và địa điểm làm việc;
2. Khi hợp đồng lao động quy định tại điểm b
d) Thời hạn của hợp đồng lao động;
khoản 1 Điều này hết hạn mà người lao động vẫn GIAO KẾT HỢP ĐỒNG
tiếp tục làm việc thì thực hiện như sau: đ) Mức lương theo công việc hoặc chức danh,
hình thức trả lương, thời hạn trả lương, phụ cấp
LAO ĐỘNG
a) Trong thời hạn 30 ngày kể từ ngày hợp
lương và các khoản bổ sung khác;
đồng lao động hết hạn, hai bên phải ký kết hợp
đồng lao động mới; trong thời gian chưa ký kết e) Chế độ nâng bậc, nâng lương;
hợp đồng lao động mới thì quyền, nghĩa vụ và lợi g) Thời giờ làm việc, thời giờ nghỉ ngơi; (Theo Bộ luật lao động năm 2019)
ích của hai bên được thực hiện theo hợp đồng đã
h) Trang bị bảo hộ lao động cho người lao
giao kết;
động;
b) Nếu hết thời hạn 30 ngày kể từ ngày hợp
i) Bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm
đồng lao động hết hạn mà hai bên không ký kết
thất nghiệp;
hợp đồng lao động mới thì hợp đồng đã giao kết
theo quy định tại điểm b khoản 1 Điều này trở k) Đào tạo, bồi dưỡng, nâng cao trình độ, kỹ
thành hợp đồng lao động không xác định thời hạn; năng nghề. c) Trường hợp hai bên ký kết hợp đồng lao 2.","[-0.00453298  0.05010781 -0.00897638 ...  0.00014027 -0.01886492
  0.00046637]"
3a8bed9d3ed74173b7fcc611d13e285d,"c) Trường hợp hai bên ký kết hợp đồng lao 2. Khi người lao động làm việc có liên quan
động mới là hợp đồng lao động xác định thời hạn trực tiếp đến bí mật kinh doanh, bí mật công nghệ
thì cũng chỉ được ký thêm 01 lần, sau đó nếu theo quy định của pháp luật thì người sử dụng
người lao động vẫn tiếp tục làm việc thì phải ký lao động có quyền thỏa thuận bằng văn bản với
kết hợp đồng lao động không xác định thời hạn, người lao động về nội dung, thời hạn bảo vệ bí
trừ hợp đồng lao động đối với các trường hợp mật kinh doanh, bảo vệ bí mật công nghệ, quyền
sau: Người được thuê làm giám đốc trong doanh lợi và việc bồi thường trong trường hợp vi phạm. nghiệp có vốn nhà nước; hợp đồng với người lao 3. Đối với người lao động làm việc trong lĩnh
động cao tuổi; sử dụng người lao động nước ngoài vực nông nghiệp, lâm nghiệp, ngư nghiệp, diêm
làm việc tại Việt Nam; thành viên ban lãnh đạo nghiệp thì tùy theo loại công việc mà hai bên
của tổ chức đại diện người lao động tại cơ sở đang có thể giảm một số nội dung chủ yếu của hợp
trong nhiệm kỳ mà hết hạn hợp đồng lao động.","[-0.00176943 -0.0166142  -0.01004482 ... -0.00227505 -0.01505434
  0.00135444]"
0a93984693a245d189e21666d579e192,"Đối với người lao động làm việc trong lĩnh
động cao tuổi; sử dụng người lao động nước ngoài vực nông nghiệp, lâm nghiệp, ngư nghiệp, diêm
làm việc tại Việt Nam; thành viên ban lãnh đạo nghiệp thì tùy theo loại công việc mà hai bên
của tổ chức đại diện người lao động tại cơ sở đang có thể giảm một số nội dung chủ yếu của hợp
trong nhiệm kỳ mà hết hạn hợp đồng lao động. đồng lao động và thỏa thuận bổ sung nội dung
VỤ PHỔ BIẾN, GIÁO DỤC PHÁP LUẬT
về phương thức giải quyết trong trường hợp thực
hiện hợp đồng chịu ảnh hưởng của thiên tai, hỏa 58-60 TRẦN PHÚ – HÀ NỘI","[ 0.00153193 -0.02431505 -0.00975664 ... -0.0119237  -0.01448919
  0.00089699]"
47f4a81f1ad2445a898f47d3ed25b33a,"hoạn, thời tiết. 4. Hợp đồng lao động có hiệu lực kể từ ngày
hai bên giao kết, trừ trường hợp hai bên có thỏa
thuận hoặc pháp luật có quy định khác. 5. Tiền lương của người lao động trong thời
gian thử việc do hai bên thỏa thuận nhưng ít nhất
phải bằng 85% mức lương của công việc đó./.","[-0.00613244  0.04677982 -0.00849961 ...  0.00710109 -0.02499063
  0.00053407]"
